HTS,1,,,,,,,,,,,,,,,,
HDC,平成22年度,人口動態職業・産業別統計,,,,,,,,,,,,,,,
HD,７基礎人口　表３,15歳以上人口，職業（大分類）・都道府県（20大都市再掲）・性別,,,,,,,,,,,,,,,
,Table 3.,"Population of 15 years of age and over by occupation  (major groups), Japan, each prefecture and the 20 major cities, by sex, FY2010 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HT,都道府県 Prefecture,総　数　Total,就業者総数　Employed,,,,,,,,,,,,,無　職　Non-employed,不　詳　Not stated
,,,,Ａ　管理的職業従事者,Ｂ　専門的・技術的職業従事者,Ｃ　事務従事者,Ｄ　販売従事者,Ｅ　サービス職業従事者,Ｆ　保安職業従事者,Ｇ　農林漁業従事者,Ｈ　生産工程従事者,Ｉ　輸送・機械運転従事者,Ｊ　建設・採掘従事者,Ｋ　運搬・清掃・包装等従事者,Ｌ　分類不能の職業,,
HB,総　数 Total,,,,,,,,,,,,,,,,
HS,４３　熊　　　本,1560229,829964,18657,122837,132008,105650,105925,15909,81264,106724,29279,42196,48148,21367,656832,73433
HS,４４　大　　　分,1032219,545679,13378,78362,87823,68968,68820,10364,37567,80393,20875,29845,32646,16638,465869,20671
HS,４５　宮　　　崎,972899,528707,12000,72859,82233,62846,64828,10532,56917,69971,18669,29066,30557,18229,419393,24799
HS,４６　鹿　児　島,1467554,773618,16240,110987,124259,95852,100964,13806,74724,91249,28885,39732,47256,29664,646907,47029
HS,４７　沖　　　縄,1139347,574457,12920,83400,99879,69317,79479,14868,28422,42908,24147,34817,36186,48114,473832,91058
HS,２０大都市（再掲）20 major cities (Regrouped),,,,,,,,,,,,,,,,
HS,５０　東京都区部,7741312,4009419,133968,676712,904194,571286,420075,53032,6653,266537,103978,105952,194356,572676,2407523,1324370
HS,５１　札　　　幌,1682972,857492,22244,133942,167613,136740,106967,18530,3515,62277,33262,39209,55535,77658,701258,124222
HS,５２　仙　　　台,902340,456833,12285,77740,101733,83988,56346,9696,4016,35424,15083,18931,27573,14018,362962,82545
HS,５３　さいたま,1043414,578329,14318,93604,138489,97250,58089,10521,4487,52581,16387,22416,31393,38794,396934,68151
HS,５４　千　　　葉,821856,421558,9883,69796,99537,66815,45980,8483,3062,35518,14428,16192,26015,25849,299345,100953
HS,５５　横　　　浜,3152795,1678668,45801,320933,394519,261208,186158,24874,8048,150445,52721,64266,89952,79743,1164835,309292
