平成27年度,人口動態職業・産業別統計,,,,,,,,,,,,,,,
７基礎人口　表３,15歳以上人口，職業（大分類）・都道府県（21大都市再掲）・性別,,,,,,,,,,,,,,,
"Table 3　Population 15 years of age and over, by occupation (major groups), each prefecture (regrouped for 21 major cities) and sex"

注：1)　「国勢調査」平成27年10月１日現在の日本人人口（不詳按分済み）。,,,,,,,,,,,,,,,,
　　2)　「無職」は国勢調査による労働力状態が「完全失業者」と「非労働力人口」を合計したものである。,,,,,,,,,,,,,,,,
　　3)　「不詳」は総数から、就業者総数と無職を引いたものである。,,,,,,,,,,,,,,,,
"Notes :1) “National Census (Statistics Bureau, Ministry of Internal Affairs and Communications)” Population in Japan as of October 1, 2015 (Unknown people have been proportionally distributed)"
2) Non-employed is total of "Unemployed" and "Population not in labour force" by census report.
3) Not stated is the one that the total of employed and the non-employed were subtracted from total.

,総　数　Total,　就業者総数　Employed,　　Ａ　管理的職業従事者,　　Ｂ　専門的・技術的職業従事者,　　Ｃ　事務従事者,　　Ｄ　販売従事者,　　Ｅ　サービス職業従事者,　　Ｆ　保安職業従事者,　　Ｇ　農林漁業従事者,　　Ｈ　生産工程従事者,　　Ｉ　輸送・機械運転従事者,　　Ｊ　建設・採掘従事者,　　Ｋ　運搬・清掃・包装等従事者,　　Ｌ　分類不能の職業,　無　職　Non-employed,　不　詳　Not stated
総　数 Total,,,,,,,,,,,,,,,,
４１　佐　　　賀,712821,407614,8591,61400,68706,45147,50391,7616,33390,58609,14580,21164,26052,11968,292529,12678
４２　長　　　崎,1191712,638738,14167,101217,106805,70326,87851,21067,45710,75472,24236,33859,39274,18754,528196,24778
４３　熊　　　本,1536790,828793,18887,135514,137397,97620,108399,16234,74938,101808,27934,41224,50721,18117,645170,62827
４４　大　　　分,1010894,540479,13108,84070,89753,62328,70000,10390,34087,73823,19699,28542,32811,21868,442583,27832
４５　宮　　　崎,950552,516467,12060,79072,86504,56709,66461,10463,52078,65409,18353,27637,31443,10278,402961,31124
４６　鹿　児　島,1421003,749389,16635,119919,128782,85740,103212,14113,66137,84479,27430,39919,49868,13155,617835,53779
４７　沖　　　縄,1174965,583987,11966,91839,106575,64334,81819,16267,26193,44403,22463,34070,37977,46081,435007,155971
２１大都市（再掲）21 major cities (Regrouped),,,,,,,,,,,,,,,,
５０　東京都区部,7975166,3874851,128088,741368,927658,536229,389473,53484,6673,235366,92503,97230,196220,470559,2282040,1818275
５１　札　　　幌,1722669,840086,21784,143289,172139,123277,102728,18327,3521,59071,30081,36329,57156,72384,695941,186642
５２　仙　　　台,941554,476043,12710,87877,118201,78294,55851,10460,3695,32093,15952,21551,28496,10863,363720,101791
５３　さいたま,1086071,576768,14423,102148,140714,90504,57747,10981,4101,45769,15296,20834,32619,41632,411343,97960
５４　千　　　葉,834318,423127,9596,75325,99586,63499,46900,8703,2986,34209,14380,16620,27791,23532,322705,88486
５５　横　　　浜,3194022,1646399,43434,338348,387549,244356,182079,25045,7638,132806,48957,57894,91279,87014,1180484,367139
５６　川　　　崎,1264213,664130,14986,146168,160035,95658,69035,7616,2604,52299,17875,23883,35374,38597,394265,205818
５７　相　模　原,622907,320369,6018,58252,63292,41818,37508,5993,2019,38245,11247,14291,24084,17602,227527,75011
５８　新　　　潟,707915,389911,9106,61167,74794,55570,46807,7073,13069,47653,15025,19493,26405,13749,287317,30687
５９　静　　　岡,613054,346749,8629,49403,67249,49674,40143,5724,8763,49564,12064,17464,24462,13610,249628,16677
６０　浜　　　松,676198,392088,8778,60875,67943,49313,43001,6892,14859,75308,12472,16914,27225,8508,266946,17164
６１　名　古　屋,1961310,1060951,30332,178993,223789,166869,122637,14942,2789,121402,31679,39127,69427,58965,711076,189283
６２　京　　　都,1278265,648328,16845,110237,114851,90931,86759,9802,4886,71489,17891,20419,37556,66662,480921,149016
６３　大　　　阪,2316969,1069852,27784,162135,213955,153512,132462,12892,1152,111398,30258,35231,73327,115746,771607,475510
６４　　　堺　　,716390,360924,8231,58041,70887,51782,43333,6804,1759,44211,12638,15488,24723,23027,303704,51762
６５　神　　　戸,1318742,643532,16504,119910,135891,93031,80841,11222,5158,65128,21228,19569,44435,30615,552149,123061
６６　岡　　　山,614237,336475,8296,58899,64065,47450,39404,5183,8141,40242,11108,15150,20855,17682,245614,32148
６７　広　　　島,1014197,559126,14249,96161,116891,87582,66760,10413,4960,63124,19691,26348,34984,17963,387940,67131
６８　北　九　州,832289,410539,9793,69841,75816,54993,53154,8094,3194,56545,17349,20107,26329,15324,367692,54058
６９　福　　　岡,1315945,656776,17260,118707,147386,111321,80112,9202,4007,41883,19560,24613,37726,44999,455152,204017
７０　熊　　　本,633733,339048,8238,62861,66597,48755,42934,8959,11589,31167,9373,14546,19647,14382,245901,48784
男 Male,,,,,,,,,,,,,,,,
全　　　　　国　,52940825,32619348,1154097,4801988,4455042,4135676,2145434,1016587,1336317,5514460,1929380,2505390,2024935,1600042,15828077,4493400
０１　北　海　道,2218034,1342404,53165,169692,170039,158965,95471,70567,96176,153979,102002,115935,82640,73773,726426,149204
０２　青　　　森,537544,338491,10532,32686,38184,34120,20885,19885,41369,45654,26494,37442,21250,9990,180918,18135
０３　岩　　　手,536755,352860,12667,38477,42109,35832,20507,10013,39104,60739,27966,38957,21918,4571,169124,14771
０４　宮　　　城,986210,612652,22387,82617,91599,81237,38034,22105,29655,86134,47261,61314,37610,12699,299088,74470
０５　秋　　　田,425269,264703,10084,29096,32338,26905,16154,8363,28257,46467,17893,28158,16882,4106,145862,14704
０６　山　　　形,469617,307772,11755,33247,34305,32453,18395,9338,31431,65172,17950,29012,18076,6638,150384,11461
０７　福　　　島,824830,526537,17491,55919,65065,49461,28914,14703,34991,105896,36102,60631,37660,19704,251315,46978
０８　茨　　　城,1247684,797451,22504,110821,102418,78703,42383,24354,46414,171632,54236,64689,48061,31236,390725,59508
０９　栃　　　木,841307,546336,16471,73570,65454,54907,31809,12952,31524,131625,33818,41376,33938,18892,250968,44003
１０　群　　　馬,828929,536289,17394,66118,64562,58900,34770,12723,28105,130893,30759,42824,34635,14606,260836,31804
１１　埼　　　玉,3117792,1988883,61428,289447,303205,278425,124621,61942,34724,301459,119087,148128,131879,134538,909373,219536
１２　千　　　葉,2666477,1635360,54450,255926,270782,229342,107502,56218,48184,207616,102428,117135,106892,78885,778183,252934
１３　東　　　京,5721102,3221156,140428,650915,536625,473367,227476,84344,16624,270851,136574,159237,171631,353084,1303716,1196230
１４　神　奈　川,3912500,2359416,82376,480428,390376,324554,158079,71719,23454,297474,122982,149895,137944,120135,1063597,489487
１５　新　　　潟,970036,629734,23650,73403,73074,73407,40952,17857,39323,128865,43696,64641,38845,12021,312161,28141
１６　富　　　山,444484,292669,10627,36903,34486,33730,15873,6937,11770,75257,17970,26261,18604,4251,138095,13720
１７　石　　　川,478532,309234,10907,39879,36005,38858,20209,9629,11556,65472,17900,26991,19480,12348,145839,23459
１８　福　　　井,324914,215505,8621,26862,27271,23730,12708,6069,9518,49437,13280,21035,13485,3489,97650,11759
１９　山　　　梨,351397,226016,8302,30119,28999,23793,17416,6286,17507,45034,11147,20203,12892,4318,108868,16513
２０　長　　　野,873641,586839,22659,79093,71090,63792,41426,11368,53234,120998,28363,47425,34514,12877,263327,23475
２１　岐　　　阜,833536,552932,19693,68499,68873,64643,33383,14626,18928,134592,30946,47897,35327,15525,258398,22206
２２　静　　　岡,1551202,1035129,35412,137964,119203,113852,64670,31455,42209,250430,61638,80114,67762,30420,474694,41379
２３　愛　　　知,3146638,2073275,64145,305065,268718,261541,114629,47434,41298,504881,110601,135250,133693,86020,859464,213899
２４　三　　　重,750613,480177,14299,58892,61277,47387,27815,13634,19697,124742,29673,36772,31409,14580,231466,38970
２５　滋　　　賀,583259,379865,12007,56753,51964,40479,22243,9979,13153,95228,18689,23546,23154,12670,172357,31037
２６　京　　　都,1067668,645374,22714,99097,80356,86036,51514,23782,16173,100941,33524,40782,37728,52727,330482,91812
２７　大　　　阪,3627546,2063246,74006,300619,277611,322680,148692,53093,14290,316336,115556,139381,140890,160092,1091472,472828
２８　兵　　　庫,2244218,1345933,49055,208732,193005,182542,90118,40836,33219,249772,75246,89155,85976,48277,715287,182998
２９　奈　　　良,553655,329379,13754,54126,52526,49444,23417,10392,10499,50406,15659,20540,19483,9133,196823,27453
３０　和　歌　山,392056,243577,8431,29984,29836,26968,17515,7487,21947,42869,14959,21522,15567,6492,132686,15793
３１　鳥　　　取,235074,150004,5287,18624,18055,16661,10575,5828,14581,24188,8686,13429,9521,4569,76022,9048
３２　島　　　根,286592,185226,6885,22615,23360,19779,12484,6435,17009,30742,11046,19398,11129,4344,91665,9701
３３　岡　　　山,786539,492082,16393,61957,58318,57190,27463,11730,25327,105687,32445,40550,32017,23005,256914,37543
３４　広　　　島,1168374,737837,26052,99642,92818,97901,45915,28598,24464,149065,47135,57619,46267,22361,360684,69853
３５　山　　　口,572888,353344,12712,43230,42979,36231,20260,14169,19303,75527,25425,33543,22533,7432,196874,22670
３６　徳　　　島,313759,185232,6300,24682,21104,19906,12178,5664,15959,35199,10860,17276,10671,5433,112150,16377
３７　香　　　川,405675,247463,8871,30864,32255,31400,15373,7166,14518,48497,14950,19747,16586,7236,132214,25998
３８　愛　　　媛,563300,347758,11780,42287,40627,38391,22579,8632,28428,64099,22535,30310,21715,16375,192676,22866
３９　高　　　知,298244,168561,6223,21062,18456,19040,13099,5601,21103,21802,9939,16454,10231,5551,103884,25799
４０　福　　　岡,2041747,1210733,43176,170746,156713,180459,83820,41652,36786,184700,81939,99701,75638,55403,645939,185075
４１　佐　　　賀,332107,218896,7206,26128,25925,23603,13942,7079,20359,39834,14144,20643,13184,6849,106651,6560
４２　長　　　崎,550624,346214,11715,43585,38912,34447,25357,20077,30131,53758,23602,33170,20314,11146,191254,13156
４３　熊　　　本,714402,441706,15309,57988,49397,51923,33091,15213,45904,69637,27137,39978,26326,9803,240040,32656
４４　大　　　分,473020,296872,10862,36947,35087,31000,20371,9909,22169,53510,19168,27732,16856,13261,161470,14678
４５　宮　　　崎,441415,274254,10065,33410,31477,29358,19477,9889,32180,42056,17800,26961,15821,5760,150784,16377
４６　鹿　児　島,657707,402523,13733,51867,50233,44419,31375,13419,43481,54742,26637,38979,26457,7181,226048,29136
４７　沖　　　縄,571913,321449,10114,41405,37971,33915,30495,15436,20282,30566,21533,33652,19844,26236,173224,77240
２１大都市（再掲）21 major cities (Regrouped),,,,,,,,,,,,,,,,
５０　東京都区部,3913629,2157269,103820,430970,358919,329870,152766,48622,5043,162661,89361,94404,111462,269371,795741,960619
５１　札　　　幌,793662,458316,18192,73385,68985,73025,35516,16851,2473,38595,29029,35534,26041,40690,243052,92294
５２　仙　　　台,455292,267993,10608,47736,50274,47634,19590,9533,2491,22668,15336,20958,14915,6250,131203,56096
５３　さいたま,536957,336080,12429,59372,63425,57118,20784,10157,2671,32788,14633,20316,17251,25136,148010,52867
５４　千　　　葉,413591,242661,8280,42521,43311,38382,16020,8073,1930,25418,13807,16217,15001,13701,122535,48395
５５　横　　　浜,1587491,955962,37138,205373,169614,145277,62323,23235,5372,100646,47261,56509,51739,51475,422651,208878
５６　川　　　崎,642130,386565,12790,91116,68967,57577,24507,6993,1923,39503,17282,23345,19663,22899,139781,115784
５７　相　模　原,311367,184474,5165,33639,27622,22906,12442,5679,1557,28104,10766,13965,12541,10088,85842,41051
５８　新　　　潟,337489,212153,7714,28915,28360,31670,14498,6565,7799,32881,14503,19045,12833,7370,108239,17097
５９　静　　　岡,296535,193047,7250,25079,24093,28344,12549,5266,5325,35222,11586,17023,12854,8456,93484,10004
６０　浜　　　松,333347,223379,7498,33070,25580,26956,12770,6372,8650,55065,11870,16462,13703,5383,100092,9876
６１　名　古　屋,965349,606036,24981,99502,85303,105930,41679,13682,1944,91013,30546,38137,37510,35809,255861,103452
６２　京　　　都,600439,349848,13338,58015,40241,50788,32299,9140,3495,48307,17286,19974,20029,36936,176612,73979
６３　大　　　阪,1114814,583208,22238,84846,70189,93890,48816,12028,898,79712,29370,34494,40039,66688,285842,245764
６４　　　堺　　,339826,203958,6814,28541,27593,30986,14103,6430,1394,33787,12257,15199,13762,13092,109389,26479
６５　神　　　戸,615911,354083,13632,62885,54875,52978,27534,10535,3473,47680,20566,19143,24072,16710,195364,66464
６６　岡　　　山,292429,185205,6685,27910,24066,28132,12069,4771,5103,29331,10709,14778,11364,10287,89600,17624
６７　広　　　島,485941,311443,11652,47849,45613,52524,21127,9660,3221,46612,19007,25629,18526,10023,137296,37202
６８　北　九　州,386857,224826,7835,31810,27269,29672,14879,7672,2142,44572,16761,19561,13902,8751,132422,29609
６９　福　　　岡,612621,349854,13889,60607,51631,69193,28818,8564,2721,27824,18857,23905,19220,24625,158946,103821
７０　熊　　　本,294021,179260,6477,28530,24232,28150,14712,8270,6922,21178,9019,14011,10100,7659,89621,25140
女 Female,,,,,,,,,,,,,,,,
全　　　　　国　,56593915,25399327,224349,4472849,6693327,3220397,4619617,68069,787300,2197090,67400,61164,1821795,1165970,27335782,3858806
０１　北　海　道,2533995,1078509,9997,178541,242794,134493,213409,4176,61683,75529,3035,2498,96960,55394,1309329,146157
０２　青　　　森,618621,285140,2385,44987,57782,33512,54578,1237,30264,27771,634,776,22915,8299,317316,16165
０３　岩　　　手,586783,279982,2367,45891,61061,32210,53316,547,25904,32544,697,772,21147,3526,296507,10294
０４　宮　　　城,1045200,458906,4304,77193,129551,63119,82767,1687,14949,40244,1411,1433,33139,9109,526749,59545
０５　秋　　　田,488705,216416,1624,35288,48583,25475,44474,449,15795,25427,472,452,15107,3270,259424,12865
０６　山　　　形,513084,250825,2090,38960,57379,28722,47536,536,18257,35931,511,623,15192,5088,253373,8886
０７　福　　　島,851007,390122,3476,61115,90933,44344,71798,1009,22585,51201,1113,1749,26440,14359,426868,34017
０８　茨　　　城,1265329,581035,4161,93304,143093,73337,102729,1517,29186,63437,1977,1893,45163,21238,637119,47175
０９　栃　　　木,855845,402039,3132,65854,93283,50109,72944,921,20535,48638,1193,1085,32150,12195,417717,36089
１０　群　　　馬,860391,409833,3223,69350,97280,49476,77554,875,17314,51154,1255,1032,30748,10572,427398,23160
１１　埼　　　玉,3140598,1434741,9991,228133,401909,193040,237104,5216,19923,121927,4608,3312,121545,88033,1528122,177735
１２　千　　　葉,2705497,1196856,8641,199183,343387,166735,214710,3799,30351,71801,3855,2878,95699,55817,1302727,205914
１３　東　　　京,5920562,2504763,30658,464398,799822,309423,374311,7598,6065,114579,4884,4357,129381,259287,2354911,1060888
１４　神　奈　川,3937290,1697668,14506,317290,498722,242926,304204,5052,10883,96427,4886,3539,115139,84094,1861162,378460
１５　新　　　潟,1047243,504739,3865,82266,122718,60782,98392,1019,22058,60427,1557,1315,40515,9825,520833,21671
１６　富　　　山,482580,239324,1781,42843,62459,28040,44572,464,4971,31614,730,778,17860,3212,233587,9669
１７　石　　　川,517636,257617,1876,45579,65125,32194,48296,493,4966,29814,636,815,18486,9337,240917,19102
１８　福　　　井,349139,177499,1336,31829,46752,19841,32692,295,4616,24690,334,395,11994,2725,162056,9584
１９　山　　　梨,370571,177047,1465,29994,43384,22093,34187,351,11390,19310,333,339,10993,3208,179646,13878
２０　長　　　野,930515,466907,3497,78782,105576,51432,88973,664,37458,55552,1311,1155,32025,10482,445987,17621
２１　岐　　　阜,899328,440310,3324,71258,111562,53447,82789,977,10768,56775,1084,1136,36170,11020,441181,17837
２２　静　　　岡,1617770,793313,6314,121156,196333,102743,147085,2089,26997,98541,2860,2082,68842,18271,793666,30791
２３　愛　　　知,3163554,1505295,12436,247805,406061,189765,264543,3736,31545,160646,4999,4374,124121,55264,1491719,166540
２４　三　　　重,803295,374934,2871,62726,92762,47339,72754,721,9809,42481,1117,1050,29730,11574,397189,31172
２５　滋　　　賀,607857,286645,2032,52399,71901,35867,50415,517,5288,36482,650,723,20948,9423,297178,24034
