平成12年度,人口動態職業・産業別統計（人口動態統計特殊報告）
７基礎人口　表３,15歳以上人口，職業（大分類）・都道府県（13大都市再掲）・性別
注：1)　「国勢調査」平成12年10月１日現在の日本人人口（按分済み）。
　　2)　「無職」は国勢調査による労働力状態が「完全失業者」と「非労働力人口」を合計したものである。
都道府県,総　　　数,就業者総数,Ａ,Ｂ,Ｃ,Ｄ,Ｅ,Ｆ,Ｇ,Ｈ,Ｉ,Ｊ,無　　　職
,,,専 門 的・,管　理　的,事務従事者,販売従事者,サー ビ ス,保　　　安,農林漁業,運輸・通信,生産工程・,分類不能の,
,,,技　術　的,職業従事者,,,職業従事者,職業従事者,作 業 者,従　事　者,労務作業者,職　　　業,
,,,職業従事者,,,,,,,,,,
総数
５７　京　都　市,1249148,685565,101446,20108,126260,126170,78370,8919,6125,23570,176889,17709,499204
５８　大　阪　市,2185800,1187927,140356,34411,233364,234538,135615,12312,1336,43840,338594,13560,916020
５９　神　戸　市,1255275,657346,102236,21935,144304,116342,63430,10068,5539,24102,152646,16744,559602
６０　広　島　市,943107,560710,81549,18140,123314,103562,49664,9147,7490,20631,137515,9697,360072
６１　北九州　市,863489,448776,64723,12474,84120,76480,44242,7394,4219,19560,129163,6402,390932
６２　福　岡　市,1139557,643514,97410,20400,142507,137672,70461,8183,5366,21797,125605,14112,439806
男
全　　　　　国　,52085116,36941703,4716772,1585307,4524495,6031643,1931918,946106,1799208,2141926,12864240,400087,13994044
０１　北　海　道,2306584,1604464,188486,74506,189123,246962,81374,79195,118750,116998,494136,14934,664957
０２　青　　　森,587702,413509,38283,15617,41757,52661,17369,20737,54907,30567,140090,1521,169564
０３　岩　　　手,571118,414360,42516,17477,43725,52098,17315,9333,54317,28443,148910,226,155186
０４　宮　　　城,973241,680563,78422,30276,80353,117939,32332,19753,44817,46951,223888,5831,273238
０５　秋　　　田,480383,336087,33109,13180,35770,43543,13782,8140,37735,21304,129119,406,143804
０６　山　　　形,505223,366371,35933,15871,37224,47937,14143,8957,41996,19970,143985,356,137421
０７　福　　　島,860192,611956,60014,24631,64536,78653,25805,13557,54241,37878,250240,2401,241036
０８　茨　　　城,1239219,900087,112595,30394,103619,112904,37759,24220,67386,54711,349599,6898,323467
０９　栃　　　木,829773,610092,69089,21231,64356,79994,29756,10849,40894,36411,253906,3606,211098
１０　群　　　馬,829202,609416,65595,23131,65873,83881,30016,10492,40742,33344,253659,2684,214898
１１　埼　　　玉,2948175,2163770,271569,82730,311231,388655,105799,56426,48889,126454,739391,32627,709737
１２　千　　　葉,2523030,1815390,248783,81499,282109,327398,95300,51155,65486,103567,531718,28377,635169
１３　東　　　京,5206118,3636079,611727,192195,534285,714686,263353,77658,19927,185648,941751,94847,1245290
１４　神　奈　川,3657399,2639367,465596,117776,393780,446550,142574,67543,28582,134616,804881,37469,909571
１５　新　　　潟,1011583,727275,76411,29943,75739,103763,33760,15604,51879,45101,292641,2434,280769
１６　富　　　山,456876,335916,39804,15738,35181,48459,13235,6070,14644,19114,142967,703,119049
１７　石　　　川,479168,346778,41839,16703,36013,55617,17849,8750,15251,20262,132211,2282,129487
１８　福　　　井,331565,245510,27502,11399,25800,34594,11187,4781,12434,12317,104942,553,84887
１９　山　　　梨,361487,266065,30830,11224,29270,36657,15695,5574,22116,12115,101817,766,93589
２０　長　　　野,896041,678725,78236,29144,73407,92273,34747,9981,67361,30430,260884,2262,214460
２１　岐　　　阜,846121,623186,70057,25991,68058,94457,29733,12705,23672,32635,264912,965,220531
２２　静　　　岡,1542140,1154817,130417,44392,117631,160381,57316,27623,59609,65703,486953,4793,376456
２３　愛　　　知,2922206,2193044,259675,81869,244117,367725,108778,40630,56952,118751,901027,13519,695910
２４　三　　　重,745021,535591,57522,20553,62753,68967,23466,12283,29092,31297,227853,1806,204243
２５　滋　　　賀,542026,396086,53779,16171,48813,53243,17352,8903,15554,18389,159392,4491,138766
２６　京　　　都,1073333,738155,98743,30904,85455,132192,47808,22353,21883,39779,246748,12289,290767
２７　大　　　阪,3592572,2462652,293601,105919,299935,505126,151366,49860,17279,141061,859921,38582,1002090
２８　兵　　　庫,2214582,1539752,203881,70899,198899,264382,77877,37845,41259,81425,538115,25169,619114
２９　奈　　　良,577912,401915,59088,21635,61591,76394,18502,9600,13387,15835,120027,5855,166161
３０　和　歌　山,423303,290737,31358,10657,33514,42157,14765,6743,29409,15917,104172,2046,128531
３１　鳥　　　取,244476,176751,21323,8085,19123,23426,7707,5554,19249,10133,61272,880,66096
３２　島　　　根,305064,219365,25472,9929,24520,27689,8921,5637,23899,12986,79482,831,84402
３３　岡　　　山,781843,547377,61566,22069,58200,80196,21699,10450,35514,34720,219337,3627,226074
３４　広　　　島,1163810,824454,99420,36102,95997,136026,37238,26389,35928,50535,298595,8224,319492
３５　山　　　口,607948,421783,46845,17108,45432,55220,16106,13829,29958,28749,166642,1893,180153
３６　徳　　　島,330690,220865,26563,9213,21116,29937,9647,5072,22085,13141,81308,2785,102969
３７　香　　　川,413940,291731,32950,13689,33009,47048,12927,6810,21775,18115,104423,985,119579
３８　愛　　　媛,590471,404472,46025,16367,41242,59014,18705,7833,40784,26795,146874,832,182579
３９　高　　　知,325728,214803,24304,9031,20541,30627,10855,5266,28704,13855,70310,1309,104033
４０　福　　　岡,1995386,1323540,163983,56056,151978,254862,72666,38885,48912,87119,433711,15369,609549
４１　佐　　　賀,339321,239075,26187,9543,26217,33497,10911,6217,27332,14204,84489,477,99117
４２　長　　　崎,585744,395958,45157,16262,38994,54207,21118,18124,40335,28323,131992,1447,187148
４３　熊　　　本,728674,489731,55897,19633,50913,70659,25450,14186,59431,30294,159940,3328,229771
４４　大　　　分,481886,329670,38466,13821,35840,45495,15300,9112,31897,20654,116867,2217,146842
４５　宮　　　崎,455140,310953,35399,12725,30426,42521,15724,9263,40711,19077,104306,800,140730
４６　鹿　児　島,693388,466759,53829,17842,52433,63650,24030,12097,57372,32216,151635,1655,225329
４７　沖　　　縄,508312,326702,38924,14177,34601,47321,22802,14059,24872,24015,103202,2729,170935
１３大都市（再掲）,,,,,,,,,,,,,
５０　東京都の区部,3505781,2466208,394304,138228,352265,510098,193575,48112,6537,132969,618044,72075,789543
５１　札　幌　市,736992,508518,72864,25276,69695,108999,32207,17570,2489,33972,136026,9419,204769
５２　仙　台　市,418308,285889,43318,14301,41385,68589,17015,7760,3191,15134,70273,4923,115439
５３　千　葉　市,380061,266672,42420,13058,45692,53160,14426,7355,2387,13840,67520,6813,91396
５４　横　浜　市,1471353,1063973,195383,53336,170717,198248,56118,20615,6389,53415,291645,18107,361221
５５　川　崎　市,555131,406699,79520,16237,61411,73475,23329,5797,2261,20574,117952,6143,126850
５６　名古屋　市,907987,665391,86727,31069,78890,149312,42388,11711,2362,37410,219256,6265,227867
５７　京　都　市,593156,396357,55987,17011,42655,79495,32145,8407,4185,22426,124502,9543,158837
５８　大　阪　市,1066158,701212,76837,29032,70881,153690,57923,11688,1034,42088,250496,7544,312111
５９　神　戸　市,592739,390860,58266,19465,56680,74877,24287,9564,3416,23030,112016,9259,176477
６０　広　島　市,454377,328685,44365,16020,44731,69167,17172,8500,4112,19567,99788,5262,111040
６１　北九州　市,402950,258533,32016,10853,28358,44869,13502,7143,2703,18625,96865,3599,128928
６２　福　岡　市,544888,366038,52803,17832,47658,92919,27423,7662,3465,20513,88260,7503,144214
女
全　　　　　国　,55175563,25470798,3705672,198012,7504001,3412974,3547764,50839,1348949,107608,5282122,312856,29152414
０１　北　海　道,2569265,1133337,163224,9546,291370,159679,175397,3555,90263,6813,219842,13648,1413088
０２　青　　　森,662021,314717,41079,2427,67648,39709,40832,1038,46444,1315,72801,1424,343860
